Term,Change_Percent,Recent_Freq,Older_Freq
increased,-6.776020344342277,0.23065496286293044,0.24742020638348933
development,8.227791013211364,0.2064821066846725,0.19078473722102232
potential,53.56464657193365,0.262390276839973,0.1708663306935445
plant parasitic,34.10513811179504,0.23268062120189062,0.17350611951043918
evaluated,12.545577312626598,0.18176907494935854,0.1615070794336453
soil,-23.792261608798913,0.7284267386900742,0.9558435325173986
nematodes,0.08569275337065729,0.9307224848075625,0.9299256059515238
disease,29.218996173756466,0.3014179608372721,0.23326133909287258
host,27.433146275994773,0.3097906819716408,0.24310055195584354
knot,16.952482448361987,0.41931127616475355,0.35853131749460043
used,4.569906479448333,0.3187035786630655,0.30477561795056396
new,23.877842001757585,0.25833896016205266,0.20854331653467723
days,-12.705032981872954,0.19608372721134368,0.22462203023758098
inoculated,-10.853729156891236,0.18933153274814316,0.21238300935925125
egg,25.250020669983048,0.23565158676569886,0.18814494840412768
pine,-4.585856330726832,0.22714382174206618,0.2380609551235901
tomato,15.041153157384851,0.3174881836596894,0.2759779217662587
cultivars,-18.454739048932165,0.2518568534773801,0.30885529157667385
cyst nematode,-15.655498381801673,0.17609723160027008,0.2087832973362131
sp,-15.753455133033837,0.174881836596894,0.2075833933285337
effects,10.229824693025225,0.1928426738690074,0.17494600431965443
samples,5.451698855952548,0.1786630654962863,0.16942644588432926
stage,6.082285731626829,0.20391627278865632,0.19222462203023757
incognita,34.23148822493948,0.8852126941255908,0.6594672426205903
soybean,5.912385903657031,0.3924375422012154,0.3705303575713943
number,-14.798528655387006,0.2831870357866307,0.33237341012718985
treatments,12.969211857090684,0.21607022282241728,0.19126469882409408
treatment,25.04261510151261,0.2337609723160027,0.1869450443964483
conditions,19.361483767305618,0.1939230249831195,0.1624670026397888
effect,11.069376141159825,0.2540175557056043,0.2287017038636909
eggs,-5.1476343765212125,0.24469952734638759,0.25797936165106794
control,30.39095000708057,0.6176907494935854,0.47372210223182143
susceptible,-13.657393897139542,0.22916948008102633,0.2654187664986801
respectively,8.614940439197111,0.2948008102633356,0.27141828653707706
root knot,15.869070870851825,0.41431465226198516,0.3575713942884569
crop,20.486377882852626,0.21309925725860904,0.17686585073194144
plant,23.41027522989011,1.1029034436191762,0.8936885049196064
knot nematode,9.144146821205759,0.24699527346387576,0.22630189584833213
results,28.282882614815907,0.43592167454422687,0.33981281497480204
heterodera,-10.6948365046834,0.19459824442943957,0.21790256779457642
meloidogyne,20.468265011586823,0.599594868332208,0.49772018238540916
significantly,11.867591907128853,0.28966914247130315,0.2589392848572114
field,-15.453789121074731,0.249966239027684,0.2956563474922006
different,6.500475213686154,0.3235651586765699,0.30381569474442044
showed,29.6454661837157,0.4576637407157326,0.35301175905927523
analysis,22.943809999119292,0.2985820391627279,0.24286057115430765
population,-17.622733155577464,0.39419311276164753,0.478521718262539
meloidogyne incognita,20.101640807113892,0.3262660364618501,0.2716582673386129
using,24.174395871057126,0.3763673193787981,0.30309575233981284
activity,28.174041989861177,0.33558406482106684,0.26181905447564197
10,-8.827018915195692,0.24483457123565158,0.2685385169186465
plants,11.8088523167411,0.6968264686022958,0.623230141588673
resistant,-14.18482435362922,0.350303848750844,0.408207343412527
tested,-20.85729827033497,0.1836596893990547,0.2320614350851932
glycines,-28.728652443306597,0.17069547602970966,0.23950083993280538
root,-2.121618601557144,0.9985145172180959,1.0201583873290136
significant,24.052545969260596,0.22565833896016205,0.18190544756419486
growth,5.496373293403388,0.3536799459824443,0.33525317974562036
high,1.9162727886563053,0.24213369345037136,0.23758099352051837
roots,-16.703905142797776,0.3638082376772451,0.43676505879529637
j2,7.189067095341553,0.24591492234976367,0.22942164626829853
gene,6.879220121539512,0.36934503713706957,0.34557235421166305
second,-6.00360117038037,0.18271438217420663,0.19438444924406048
xylophilus,0.40306493146393535,0.25347738014854826,0.25245980321574274
study,74.32374012119976,0.5986495611073599,0.3434125269978402
populations,-24.390478363444103,0.3173531397704254,0.4197264218862491
inoculation,-2.162829524029379,0.2012153950033761,0.2056635469162467
reduced,-2.9602458390217667,0.25523295070898044,0.26301895848332135
cyst,-15.930773450198604,0.2838622552329507,0.33765298776097913
juveniles,-10.252381061425172,0.2349763673193788,0.26181905447564197
parasitic,33.50432002645758,0.31397704253882514,0.2351811855051596
expression,34.52948008102633,0.24213369345037136,0.17998560115190784
potato,-2.168465230241743,0.23524645509790681,0.24046076313894887
based,30.44422419959753,0.2529372045914922,0.19390448764098872
resistance,5.0832687742554645,0.650371370695476,0.6189104871610271
yield,-3.823825795660148,0.2737339635381499,0.28461723062155025
scn,15.38331070823517,0.2910195813639433,0.2522198224142069
compared,4.056738147927274,0.30790006752194465,0.2958963282937365
genes,39.03454023173866,0.43308575286968265,0.3114950803935685
identified,39.50384675512152,0.27184334908845376,0.19486441084713224
infection,48.3133050080899,0.30182309250506417,0.2035037197024238
species,9.444062468901668,0.862525320729237,0.7880969522438205
javanica,29.75576619745483,0.3095205941931128,0.23854091672666186
observed,-5.294093984800384,0.21363943281566508,0.2255819534437245
nematode,-5.954968618509833,1.7951384199864957,1.9088072954163666
