Year,Theme,Normalized_Count
1980,Molecular/Genetics,0.4939759036144578
1980,Plant Pathology,1.4337349397590362
1980,Management/Control,1.4096385542168675
1980,Ecology/Biology,1.0602409638554218
1980,Crop Impact,1.4337349397590362
1980,Diagnostics,0.5903614457831325
1981,Molecular/Genetics,0.7954545454545454
1981,Plant Pathology,0.7272727272727273
1981,Management/Control,0.8636363636363636
1981,Ecology/Biology,1.0681818181818181
1981,Crop Impact,1.25
1981,Diagnostics,0.75
1982,Molecular/Genetics,0.6604938271604939
1982,Plant Pathology,1.1358024691358024
1982,Management/Control,0.9814814814814815
1982,Ecology/Biology,1.2654320987654322
1982,Crop Impact,1.3888888888888888
1982,Diagnostics,0.6111111111111112
1983,Molecular/Genetics,0.5267857142857143
1983,Plant Pathology,1.1428571428571428
1983,Management/Control,1.125
1983,Ecology/Biology,0.8928571428571429
1983,Crop Impact,1.4285714285714286
1983,Diagnostics,0.5535714285714286
1984,Molecular/Genetics,0.5225225225225225
1984,Plant Pathology,0.8468468468468469
1984,Management/Control,0.7387387387387387
1984,Ecology/Biology,1.0360360360360361
1984,Crop Impact,1.1891891891891893
1984,Diagnostics,0.7297297297297297
1985,Molecular/Genetics,0.943089430894309
1985,Plant Pathology,1.0731707317073171
1985,Management/Control,0.8373983739837398
1985,Ecology/Biology,1.0
1985,Crop Impact,0.991869918699187
1985,Diagnostics,0.5284552845528455
1986,Molecular/Genetics,0.5338345864661654
1986,Plant Pathology,1.3909774436090225
1986,Management/Control,1.1654135338345866
1986,Ecology/Biology,1.1804511278195489
1986,Crop Impact,1.7067669172932332
1986,Diagnostics,0.2932330827067669
1987,Molecular/Genetics,0.7028985507246377
1987,Plant Pathology,1.3115942028985508
1987,Management/Control,1.4927536231884058
1987,Ecology/Biology,1.326086956521739
1987,Crop Impact,1.8478260869565217
1987,Diagnostics,0.5507246376811594
1988,Molecular/Genetics,0.8053691275167785
1988,Plant Pathology,1.0738255033557047
1988,Management/Control,1.3624161073825503
1988,Ecology/Biology,1.1342281879194631
1988,Crop Impact,2.1543624161073827
1988,Diagnostics,0.6778523489932886
1989,Molecular/Genetics,1.1694915254237288
1989,Plant Pathology,1.3672316384180792
1989,Management/Control,1.265536723163842
1989,Ecology/Biology,1.1073446327683616
1989,Crop Impact,0.864406779661017
1989,Diagnostics,0.4745762711864407
1990,Molecular/Genetics,0.9703703703703703
1990,Plant Pathology,1.0
1990,Management/Control,0.8814814814814815
1990,Ecology/Biology,1.2740740740740741
1990,Crop Impact,1.4074074074074074
1990,Diagnostics,0.6074074074074074
1991,Molecular/Genetics,0.751412429378531
1991,Plant Pathology,1.3785310734463276
1991,Management/Control,1.1864406779661016
1991,Ecology/Biology,0.9548022598870056
1991,Crop Impact,1.6101694915254237
1991,Diagnostics,0.5819209039548022
1992,Molecular/Genetics,0.8372093023255814
1992,Plant Pathology,1.5813953488372092
1992,Management/Control,1.0
1992,Ecology/Biology,1.005813953488372
1992,Crop Impact,1.3372093023255813
1992,Diagnostics,0.7616279069767442
1993,Molecular/Genetics,1.2692307692307692
1993,Plant Pathology,1.5824175824175823
1993,Management/Control,0.9505494505494505
1993,Ecology/Biology,0.9340659340659341
1993,Crop Impact,1.434065934065934
1993,Diagnostics,0.8681318681318682
1994,Molecular/Genetics,1.5
1994,Plant Pathology,1.4375
1994,Management/Control,1.203125
1994,Ecology/Biology,1.2760416666666667
1994,Crop Impact,1.5208333333333333
1994,Diagnostics,0.6458333333333334
1995,Molecular/Genetics,1.0526315789473684
1995,Plant Pathology,1.7017543859649122
1995,Management/Control,1.3742690058479532
1995,Ecology/Biology,1.0467836257309941
1995,Crop Impact,1.8304093567251463
1995,Diagnostics,0.6491228070175439
1996,Molecular/Genetics,1.621301775147929
1996,Plant Pathology,2.21301775147929
1996,Management/Control,1.0532544378698225
1996,Ecology/Biology,1.3076923076923077
1996,Crop Impact,1.3136094674556213
1996,Diagnostics,0.7928994082840237
1997,Molecular/Genetics,1.4811320754716981
1997,Plant Pathology,2.509433962264151
1997,Management/Control,1.3584905660377358
1997,Ecology/Biology,0.8349056603773585
1997,Crop Impact,1.3537735849056605
1997,Diagnostics,0.6226415094339622
1998,Molecular/Genetics,2.139784946236559
1998,Plant Pathology,1.7473118279569892
1998,Management/Control,1.2150537634408602
1998,Ecology/Biology,1.2365591397849462
1998,Crop Impact,1.5483870967741935
1998,Diagnostics,0.6989247311827957
1999,Molecular/Genetics,1.8149779735682818
1999,Plant Pathology,2.1674008810572687
1999,Management/Control,1.475770925110132
1999,Ecology/Biology,1.4008810572687225
1999,Crop Impact,1.86784140969163
1999,Diagnostics,0.7577092511013216
2000,Molecular/Genetics,1.8565891472868217
2000,Plant Pathology,1.5891472868217054
2000,Management/Control,1.1356589147286822
2000,Ecology/Biology,1.5852713178294573
2000,Crop Impact,1.7790697674418605
2000,Diagnostics,0.7713178294573644
2001,Molecular/Genetics,2.0067567567567566
2001,Plant Pathology,1.8344594594594594
2001,Management/Control,1.0
2001,Ecology/Biology,1.3277027027027026
2001,Crop Impact,1.652027027027027
2001,Diagnostics,0.8648648648648649
2002,Molecular/Genetics,1.6451612903225807
2002,Plant Pathology,1.3691756272401434
2002,Management/Control,1.096774193548387
2002,Ecology/Biology,1.2043010752688172
2002,Crop Impact,1.3369175627240144
2002,Diagnostics,0.8279569892473119
2003,Molecular/Genetics,2.064189189189189
2003,Plant Pathology,1.4527027027027026
2003,Management/Control,1.5202702702702702
2003,Ecology/Biology,1.2939189189189189
2003,Crop Impact,1.3344594594594594
2003,Diagnostics,0.7195945945945946
2004,Molecular/Genetics,2.411042944785276
2004,Plant Pathology,1.352760736196319
2004,Management/Control,1.3496932515337423
2004,Ecology/Biology,1.165644171779141
2004,Crop Impact,1.3680981595092025
2004,Diagnostics,1.2392638036809815
2005,Molecular/Genetics,2.4168797953964196
2005,Plant Pathology,1.578005115089514
2005,Management/Control,1.0971867007672633
2005,Ecology/Biology,1.5473145780051152
2005,Crop Impact,1.5115089514066495
2005,Diagnostics,0.8823529411764706
2006,Molecular/Genetics,2.0217983651226157
2006,Plant Pathology,2.024523160762943
2006,Management/Control,1.4822888283378746
2006,Ecology/Biology,1.215258855585831
2006,Crop Impact,1.5231607629427792
2006,Diagnostics,0.7220708446866485
2007,Molecular/Genetics,2.264864864864865
2007,Plant Pathology,1.5702702702702702
2007,Management/Control,1.218918918918919
2007,Ecology/Biology,1.0
2007,Crop Impact,1.1378378378378378
2007,Diagnostics,0.9216216216216216
2008,Molecular/Genetics,2.5366430260047284
2008,Plant Pathology,1.7044917257683214
2008,Management/Control,1.4491725768321513
2008,Ecology/Biology,1.1702127659574468
2008,Crop Impact,1.657210401891253
2008,Diagnostics,1.1182033096926713
2009,Molecular/Genetics,2.655860349127182
2009,Plant Pathology,1.85785536159601
2009,Management/Control,1.5536159600997506
2009,Ecology/Biology,1.1296758104738154
2009,Crop Impact,1.3566084788029926
2009,Diagnostics,0.85785536159601
2010,Molecular/Genetics,2.7529411764705882
2010,Plant Pathology,1.748235294117647
2010,Management/Control,1.5788235294117647
2010,Ecology/Biology,1.0705882352941176
2010,Crop Impact,1.5011764705882353
2010,Diagnostics,0.9858823529411764
2011,Molecular/Genetics,2.6357308584686776
2011,Plant Pathology,1.948955916473318
2011,Management/Control,1.468677494199536
2011,Ecology/Biology,1.051044083526682
2011,Crop Impact,1.3480278422273781
2011,Diagnostics,0.9605568445475638
2012,Molecular/Genetics,3.0903614457831323
2012,Plant Pathology,1.9518072289156627
2012,Management/Control,1.538152610441767
2012,Ecology/Biology,0.8634538152610441
2012,Crop Impact,1.4136546184738956
2012,Diagnostics,1.1204819277108433
2013,Molecular/Genetics,3.0261682242990653
2013,Plant Pathology,1.583177570093458
2013,Management/Control,1.3327102803738318
2013,Ecology/Biology,0.897196261682243
2013,Crop Impact,1.2560747663551401
2013,Diagnostics,1.2205607476635514
2014,Molecular/Genetics,3.178966789667897
2014,Plant Pathology,2.1014760147601477
2014,Management/Control,1.6845018450184501
2014,Ecology/Biology,0.9797047970479705
2014,Crop Impact,1.6660516605166051
2014,Diagnostics,1.2324723247232472
2015,Molecular/Genetics,2.9072978303747536
2015,Plant Pathology,1.7889546351084813
2015,Management/Control,1.4477317554240632
2015,Ecology/Biology,0.9901380670611439
2015,Crop Impact,1.4437869822485208
2015,Diagnostics,1.0315581854043392
2016,Molecular/Genetics,3.176975945017182
2016,Plant Pathology,1.9037800687285222
2016,Management/Control,1.6065292096219932
2016,Ecology/Biology,1.1993127147766323
2016,Crop Impact,1.5893470790378006
2016,Diagnostics,1.1512027491408934
2017,Molecular/Genetics,3.0424143556280585
2017,Plant Pathology,2.099510603588907
2017,Management/Control,1.4747145187601958
2017,Ecology/Biology,1.0391517128874388
2017,Crop Impact,1.5220228384991843
2017,Diagnostics,1.0897226753670473
2018,Molecular/Genetics,3.130990415335463
2018,Plant Pathology,2.0750798722044728
2018,Management/Control,1.659744408945687
2018,Ecology/Biology,0.9744408945686901
2018,Crop Impact,1.6086261980830672
2018,Diagnostics,1.207667731629393
2019,Molecular/Genetics,3.2009925558312653
2019,Plant Pathology,2.0285359801488836
2019,Management/Control,1.9168734491315136
2019,Ecology/Biology,1.0459057071960298
2019,Crop Impact,1.7009925558312655
2019,Diagnostics,1.1687344913151365
2020,Molecular/Genetics,3.0169851380042463
2020,Plant Pathology,2.0902335456475583
2020,Management/Control,1.8970276008492568
2020,Ecology/Biology,1.0573248407643312
2020,Crop Impact,1.6305732484076434
2020,Diagnostics,1.070063694267516
2021,Molecular/Genetics,2.9533941236068895
2021,Plant Pathology,2.2279635258358663
2021,Management/Control,1.845997973657548
2021,Ecology/Biology,0.8723404255319149
2021,Crop Impact,1.8044579533941236
2021,Diagnostics,1.0810536980749748
2022,Molecular/Genetics,2.621351125938282
2022,Plant Pathology,2.0258548790658883
2022,Management/Control,1.8056713928273562
2022,Ecology/Biology,0.9599666388657214
2022,Crop Impact,1.5829858215179315
2022,Diagnostics,1.0683903252710591
2023,Molecular/Genetics,2.9584026622296173
2023,Plant Pathology,2.249584026622296
2023,Management/Control,2.114808652246256
2023,Ecology/Biology,0.8103161397670549
2023,Crop Impact,1.9417637271214643
2023,Diagnostics,1.3094841930116472
