Keyword,TF-IDF_Score
species,498.012280521871
nematode,317.4260874105547
nematodes,274.4929046367145
sp,238.300863964228
plant,213.50551881307712
soil,209.9433173387573
root,194.8077518034086
new,185.4161709290876
meloidogyne,185.0018944621178
xiphinema,175.1441453647711
incognita,164.80550846088968
pratylenchus,149.647067898124
plants,145.25517210320152
populations,143.44503469304044
population,139.7067487121609
spp,133.79124367558396
tail,133.6220632949546
parasitic,132.20563037337573
new species,128.62570991897758
body,126.03882989761976
roots,124.34980904574859
based,119.85948537768876
resistance,119.80536649528203
described,117.4288339502308
length,115.81682580435395
molecular,115.32879844650779
region,113.95487235110433
long,112.6401008737894
host,110.82930349717591
morphological,110.56864577202961
using,110.23947558844746
study,109.83558075578615
group,107.70363568108345
longidorus,107.24809624920759
plant parasitic,106.49500512891818
gene,105.94583956002462
control,104.53832304831334
stylet,104.18837553081458
parasitic nematodes,102.43341242993584
rrna,102.34876366357108
knot,101.55567853611157
root knot,101.47830473291485
sequences,100.42280901392186
heterodera,99.85517782126341
samples,94.80711205599424
analysis,94.73695605921945
field,94.27999962715923
different,93.49567950741017
phylogenetic,90.6608086753551
genes,90.63501259618664
