title,authors,pub_year,journal,citations,Genus,Species
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,"Kikuchi, Taisei; Cotton, James A.; Dalzell, Jonathan J.; Hasegawa, Koichi; Kanzaki, Natsumi; McVeigh, Paul; Takanashi, Takuma; Tsai, Isheng J.; Assefa, Samuel A.; Cock, Peter J. A.; Otto, Thomas Dan; Hunt, Martin; Reid, Adam J.; Sanchez-Flores, Alejandro; Tsuchihara, Kazuko; Yokoi, Toshiro; Larsson, Mattias C.; Miwa, Johji; Maule, Aaron G.; Sahashi, Norio; Jones, John T.; Berriman, Matthew",2011,PLOS Pathogens,332,bursaphelenchus,xylophilus
Genomic Analysis of the Basal Lineage Fungus Rhizopus oryzae Reveals a Whole-Genome Duplication,"Ma, Li-Jun; Ibrahim, Ashraf S.; Skory, Christopher; Grabherr, Manfred G.; Burger, Gertraud; Butler, Margi; Elias, Marek; Idnurm, Alexander; Lang, B. Franz; Sone, Teruo; Abe, Ayumi; Calvo, Sarah E.; Corrochano, Luis M.; Engels, Reinhard; Fu, Jianmin; Hansberg, Wilhelm; Kim, Jung-Mi; Kodira, Chinnappa D.; Koehrsen, Michael J.; Liu, Bo; Miranda-Saavedra, Diego; O'Leary, Sinead; Ortiz-Castellanos, Lucila; Poulter, Russell; Rodriguez-Romero, Julio; Ruiz-Herrera, JosÃÂ©; Shen, Yao-Qing; Zeng, Qiandong; Galagan, James; Birren, Bruce W.; Cuomo, Christina A.; Wickes, Brian L.",2009,PLOS Genetics,331,radopholus,oryzae
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,"Atkinson, Nicky J.; Lilley, Catherine J.; Urwin, Peter E.",2013,Plant Physiology,326,heterodera,schachtii
Cowpea (Vigna unguiculata L. Walp.),"Ehlers, J.D.; Hall, A.E.",1997,Field Crops Research,319,meloidogyne,javanica
Estimating disease losses to the Australian wheat industry,"Murray, Gordon M.; Brennan, John P.",2009,Australasian Plant Pathology,314,heterodera,avenae
Estimating disease losses to the Australian wheat industry,"Murray, Gordon M.; Brennan, John P.",2009,Australasian Plant Pathology,314,heterodera,avenae
Arabidopsis thaliana as a new model host for plant?parasitic nematodes,"Sijmons, Peter C.; Grundler, Florian M.W.; Mende, Nicola; Burrows, Paul R.; Wyss, Urs",1991,The Plant Journal,301,globodera,rostochiensis
Arabidopsis thaliana as a new model host for plantÃ¢ÂÂparasitic nematodes,"Sijmons, Peter C.; Grundler, Florian M.W.; Mende, Nicola; Burrows, Paul R.; Wyss, Urs",1991,The Plant Journal,301,globodera,rostochiensis
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,"Urwin, P E; Lilley, Catherine J; Atkinson, Howard J",2002,Molecular Plant-Microbe Interactions,300,globodera,pallida
"Soybean Yield Loss Estimates Due to Diseases in the United States and Ontario, Canada, from 2010 to 2014","Allen, Tom W.; Bradley, Carl A.; Sisson, Adam J.; Byamukama, Emmanuel; Chilvers, Martin I.; Coker, Cliff M.; Collins, Alyssa A.; Damicone, John P.; Dorrance, Anne E.; Dufault, Nicholas S.; Esker, Paul D.; Faske, Travis R.; Giesler, Loren J.; Grybauskas, Arvydas P.; Hershman, Donald E.; Hollier, Clayton A.; Isakeit, Tom; Jardine, Douglas J.; Kelly, Heather M.; Kemerait, Robert C.; Kleczewski, Nathan M.; Koenning, Steve R.; Kurle, James E.; Malvick, Dean K.; Markell, Samuel G.; Mehl, Hillary L.; Mueller, Daren S.; Mueller, John D.; Mulrooney, Robert P.; Nelson, Berlin D.; Newman, Melvin A.; Osborne, Larry; Overstreet, Charles; Padgett, Guy B.; Phipps, Patrick M.; Price, Paul P.; Sikora, Edward J.; Smith, Damon L.; Spurlock, Terry N.; Tande, Connie A.; Tenuta, Albert U.; Wise, Kiersten A.; Wrather, J. Allen",2017,Plant Health Progress,289,heterodera,glycines
Nematicidal activity of essential oils and their components against the root-knot nematode.,"Oka, Yuji; Nacar, Sengul; Putievsky, Eli; Ravid, Uzi; Yaniv, Zohara; Spiegel, Yitzhak",2000,Phytopathology,281,meloidogyne,javanica
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays","Donkers-Venne, Dorine T.H.M.; Fargette, Mireille; Zijlstra, Carolien",2000,Nematology,280,meloidogyne,javanica
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,"Niblack, T L; Arelli, P R; Noel, G R; Opperman, C H; Orf, J H; Schmitt, D P; Shannon, J G; Tylka, G L",2002,Journal of Nematology,279,heterodera,glycines
Homologues of a single resistanceÃ¢ÂÂgene cluster in potato confer resistance to distinct pathogens: a virus and a nematode,"Van Der Vossen, Edwin A. G.; Van Der Voort, Jeroen N. A. M. Rouppe; Kanyuka, Konstantin; Bendahmane, Abdel; Sandbrink, Hans; Baulcombe, David C.; Bakker, Jaap; Stiekema, Willem J.; KleinÃ¢ÂÂLankhorst, Rene M.",2000,The Plant Journal,275,globodera,pallida
Why plants bother: root proliferation results in increased nitrogen capture from an organic patch when two grasses compete,"Hodge, A.; Robinson, D.; Griffiths, B. S.; Fitter, A. H.",1999,Plant Cell & Environment,272,pratylenchus,pratensis
The tomato Mi-1 gene confers resistance to both root-knot nematodes and potato aphids,"VosÂ, Pieter; SimonsÂ, Guus; Jesse, Taco; Wijbrandi, Jelle; Heinen, Leo; Hogers, RenÃ©; Frijters, Adri; Groenendijk, John; Diergaarde, Paul; Reijans, Martin; Fierens-Onstenk, Joke; Both, Michiel de; Peleman, Johan; LiharskaÂ, Tsvetana; Hontelez, Jan; ZabeauÂ§, Marc",1998,Nature Biotechnology,260,meloidogyne,incognita
The tomato Mi-1 gene confers resistance to both root-knot nematodes and potato aphids,"VosÃ¢ÂÂ , Pieter; SimonsÃ¢ÂÂ , Guus; Jesse, Taco; Wijbrandi, Jelle; Heinen, Leo; Hogers, RenÃÂ©; Frijters, Adri; Groenendijk, John; Diergaarde, Paul; Reijans, Martin; Fierens-Onstenk, Joke; Both, Michiel de; Peleman, Johan; LiharskaÃ¢ÂÂ¡, Tsvetana; Hontelez, Jan; ZabeauÃÂ§, Marc",1998,Nature Biotechnology,260,meloidogyne,incognita
A Decade of QTL Mapping for Cyst Nematode Resistance in Soybean,"Concibido, Vergel C.; Diers, Brian W.; Arelli, Prakash R.",2004,Crop Science,257,heterodera,glycines
A Decade of QTL Mapping for Cyst Nematode Resistance in Soybean,"Concibido, Vergel C.; Diers, Brian W.; Arelli, Prakash R.",2004,Crop Science,257,heterodera,glycines
Elucidation of the microbial complex having a causal role in the development of apple replant disease in washington.,"Mazzola, Mark",1998,Phytopathology,248,pratylenchus,penetrans
Biological Control of the Root-Knot Nematode Meloidogyne javanica by Trichoderma harzianum.,"Sharon, E; Bar-Eyal, M; Chet, I; Herrera-Estrella, A; Kleifeld, O; Spiegel, Y",2001,Phytopathology,240,meloidogyne,javanica
Soybean Disease Loss Estimates for the Top 10 Soybean Producing Countries in 1994.,"Wrather, J A; Anderson, T R; Arsyad, D M; Gai, J; Ploper, L D; Porta-Puglia, A; Ram, H H; Yorinori, J T",1997,Plant Disease,236,heterodera,glycines
Major emerging problems with minor meloidogyne species.,"Elling, Axel A",2013,Phytopathology,233,meloidogyne,enterolobii
Organic and inorganic nitrogen amendments to soil as nematode suppressants.,"RodrÃÂ­guez-KÃÂ¡bana, R",1986,Journal of Nematology,232,helicotylenchus,dihystera
Development of a routine DNA-based testing service for soilborne diseases in Australia,"Ophel-Keller, Kathy; McKay, Alan; Hartley, Di; Herdina; Curran, John",2008,Australasian Plant Pathology,229,ditylenchus,dipsaci
Shifting from priming of salicylic acid? to jasmonic acid?regulated defences by Trichoderma protects tomato against the root knot nematode Meloidogyne incognita,"MartÃ­nez?Medina, Ainhoa; Fernandez, Ivan; Lok, Gerrit B.; Pozo, MarÃ­a J.; Pieterse, CornÃ© M. J.; Van Wees, Saskia C. M.",2016,New Phytologist,227,meloidogyne,incognita
The parasitome of the phytonematode Heterodera glycines.,"Gao, Bingli; Allen, R; Maier, Tom; Davis, Eric L; Baum, Thomas J; Hussey, Richard S",2003,Molecular Plant-Microbe Interactions,227,heterodera,glycines
Shifting from priming of salicylic acidÃ¢ÂÂ to jasmonic acidÃ¢ÂÂregulated defences by Trichoderma protects tomato against the root knot nematode Meloidogyne incognita,"MartÃÂ­nezÃ¢ÂÂMedina, Ainhoa; Fernandez, Ivan; Lok, Gerrit B.; Pozo, MarÃÂ­a J.; Pieterse, CornÃÂ© M. J.; Van Wees, Saskia C. M.",2016,New Phytologist,227,meloidogyne,incognita
History of pine wilt disease in Japan.,"Mamiya, Y",1988,Journal of Nematology,221,bursaphelenchus,xylophilus
Developmental transcript profiling of cyst nematode feeding cells in soybean roots.,"Ithal, Nagabhushana; Recknor, Justin; Nettleton, Dan; Maier, Tom; Baum, Thomas J; Mitchum, Melissa G",2007,Molecular Plant-Microbe Interactions,220,heterodera,glycines
Soybean disease loss estimates for the top ten soybean-producing counries in 1998,"Wrather, J.A.; Anderson, T.R.; Arsyad, D.M.; Tan, Y.; Ploper, L.D.; Porta-Puglia, A.; Ram, H.H.; Yorinori, J.T.",2001,Canadian Journal of Plant Pathology,219,heterodera,glycines
Soybean disease loss estimates for the top ten soybean-producing counries in 1998,"Wrather, J.A.; Anderson, T.R.; Arsyad, D.M.; Tan, Y.; Ploper, L.D.; Porta-Puglia, A.; Ram, H.H.; Yorinori, J.T.",2001,Canadian Journal of Plant Pathology,219,heterodera,glycines
Direct Identification of the Meloidogyne incognita Secretome Reveals Proteins with Host Cell Reprogramming Potential,"Bellafiore, StÃ©phane; Shen, Zhouxin; Rosso, Marie-Noelle; Abad, Pierre; Shih, Patrick; Briggs, Steven P.",2008,PLOS Pathogens,214,meloidogyne,incognita
Dual disease resistance mediated by the immune receptor Cf-2 in tomato requires a common virulence target of a fungus and a nematode,"Lozano-Torres, Jose L.; Wilbers, Ruud H. P.; Gawronski, Piotr; Boshoven, Jordi C.; Finkers-Tomczak, Anna; Cordewener, Jan H. G.; America, Antoine H. P.; Overmars, Hein A.; Van Ã¢ÂÂt Klooster, John W.; Baranowski, Lukasz; Sobczak, Miroslaw; Ilyas, Muhammad; van der Hoorn, Renier A. L.; Schots, Arjen; de Wit, Pierre J. G. M.; Bakker, Jaap; Goverse, Aska; Smant, Geert",2012,Proceedings of the National Academy of Sciences of the United States of America,209,globodera,rostochiensis
Engineered oryzacystatinÃ¢ÂÂI expressed in transgenic hairy roots confers resistance to Globodera pallida,"Urwin, Peter E.; Atkinson, Howard J.; Waller, David A.; McPherson, Michael J.",1995,The Plant Journal,209,globodera,pallida
A PCR primer set for determination of phylogenetic relationships of Bursaphelenchus species within the xylophilus group,"Kanzaki, Natsumi; Futai, Kazuyoshi",2002,Nematology,208,bursaphelenchus,xylophilus
A polymerase chain reaction method for identification of five major meloidogyne species.,"Powers, T O; Harris, T S",1993,Journal of Nematology,198,meloidogyne,marylandi
A parasitism gene from a plant?parasitic nematode with function similar to CLAVATA3/ESR (CLE) of Arabidopsis thaliana,"WANG, XIAOHONG; MITCHUM, MELISSA G.; GAO, BINGLI; LI, CHUNYING; DIAB, HANANE; BAUM, THOMAS J.; HUSSEY, RICHARD S.; DAVIS, ERIC L.",2005,Molecular Plant Pathology,192,heterodera,glycines
A parasitism gene from a plantÃ¢ÂÂparasitic nematode with function similar to CLAVATA3/ESR (CLE) of Arabidopsis thaliana,"WANG, XIAOHONG; MITCHUM, MELISSA G.; GAO, BINGLI; LI, CHUNYING; DIAB, HANANE; BAUM, THOMAS J.; HUSSEY, RICHARD S.; DAVIS, ERIC L.",2005,Molecular Plant Pathology,192,heterodera,glycines
The transcriptome of syncytia induced by the cyst nematode Heterodera schachtii in Arabidopsis roots,"Szakasits, Dagmar; Heinen, Petra; Wieczorek, Krzysztof; Hofmann, Julia; Wagner, Florian; Kreil, David P; Sykacek, Peter; Grundler, Florian M W; Bohlmann, Holger",2008,The Plant Journal,190,heterodera,schachtii
Estimating disease losses to the Australian barley industry,"Murray, G. M.; Brennan, J. P.",2010,Australasian Plant Pathology,190,heterodera,avenae
Estimating disease losses to the Australian barley industry,"Murray, G. M.; Brennan, J. P.",2010,Australasian Plant Pathology,190,heterodera,avenae
Cellulose Binding Protein from the Parasitic Nematode Heterodera schachtii Interacts with Arabidopsis Pectin Methylesterase: Cooperative Cell Wall Modification during Parasitism,"Hewezi, Tarek; Howe, Peter; Maier, Tom R.; Hussey, Richard S.; Mitchum, Melissa Goellner; Davis, Eric L.; Baum, Thomas J.",2008,The Plant Cell,187,heterodera,glycines
"Molecular cloning of the potato Gro1Ã¢ÂÂ4 gene conferring resistance to pathotype Ro1 of the root cyst nematode Globodera rostochiensis, based on a candidate gene approach","Paal, JÃÂ¼rgen; Henselewski, Heike; Muth, Jost; Meksem, Khalid; MenÃÂ©ndez, Cristina M.; Salamini, Francesco; Ballvora, Agim; Gebhardt, Christiane",2004,The Plant Journal,187,globodera,rostochiensis
"Molecular cloning of the potato Gro1?4 gene conferring resistance to pathotype Ro1 of the root cyst nematode Globodera rostochiensis, based on a candidate gene approach","Paal, JÃ¼rgen; Henselewski, Heike; Muth, Jost; Meksem, Khalid; MenÃ©ndez, Cristina M.; Salamini, Francesco; Ballvora, Agim; Gebhardt, Christiane",2004,The Plant Journal,187,globodera,rostochiensis
Early transcriptomic events in microdissected Arabidopsis nematode?induced giant cells,"Barcala, Marta; GarcÃ­a, Alejandra; Cabrera, Javier; Casson, Stuart; Lindsey, Keith; Favery, Bruno; GarcÃ­a?Casado, Gloria; Solano, Roberto; Fenoll, Carmen; Escobar, Carolina",2009,The Plant Journal,186,meloidogyne,javanica
Early transcriptomic events in microdissected Arabidopsis nematodeÃ¢ÂÂinduced giant cells,"Barcala, Marta; GarcÃÂ­a, Alejandra; Cabrera, Javier; Casson, Stuart; Lindsey, Keith; Favery, Bruno; GarcÃÂ­aÃ¢ÂÂCasado, Gloria; Solano, Roberto; Fenoll, Carmen; Escobar, Carolina",2009,The Plant Journal,186,meloidogyne,javanica
Molecular identification of cyst-forming nematodes (Heteroderidae) from Iran and a phylogeny based on ITS-rDNA sequences,"Subbotin, Sergei; Maafi, Zahra Tanha; Moens, Maurice",2003,Nematology,186,heterodera,avenae
Parallel genome-wide expression profiling of host and pathogen during soybean cyst nematode infection of soybean.,"Ithal, Nagabhushana; Recknor, Justin; Nettleton, Dan; Hearne, Leonard; Maier, Tom; Baum, Thomas J; Mitchum, Melissa G",2007,Molecular Plant-Microbe Interactions,186,heterodera,glycines
A profile of putative parasitism genes expressed in the esophageal gland cells of the root-knot nematode Meloidogyne incognita.,"Huang, Guozhong; Gao, Bingli; Maier, Tom; Allen, R; Davis, Eric L; Baum, Thomas J; Hussey, Richard S",2003,Molecular Plant-Microbe Interactions,184,meloidogyne,incognita
Nemtaode-vector relationships in the pine wilt disease system.,"Linit, M J",1988,Journal of Nematology,184,bursaphelenchus,xylophilus
The genome and life-stage specific transcriptomes of Globodera pallidaelucidate key aspects of plant parasitism by a cyst nematode,"Cotton, James A; Lilley, Catherine J; Jones, Laura M; Kikuchi, Taisei; Reid, Adam J; Thorpe, Peter; Tsai, Isheng J; Beasley, Helen; Blok, Vivian; Cock, Peter J A; den Akker, Sebastian Eves-van; Holroyd, Nancy; Hunt, Martin; Mantelin, Sophie; Naghra, Hardeep; Pain, Arnab; Palomares-Rius, Juan E; Zarowiecki, Magdalena; Berriman, Matthew; Jones, John T; Urwin, Peter E",2014,Genome Biology,183,globodera,pallida
Evaluation and identification of potential organic nematicidal volatiles from soil bacteria,"Gu, Ying-Qi; Mo, Ming-He; Zhou, Jun-Pei; Zou, Chang-Song; Zhang, Ke-Qin",2007,Soil Biology and Biochemistry,183,bursaphelenchus,xylophilus
Natural rice rhizospheric microbes suppress rice blast infections,"Spence, Carla; Alff, Emily; Johnson, Cameron; Ramos, Cassandra; Donofrio, Nicole; Sundaresan, Venkatesan; Bais, Harsh",2014,BMC Plant Biology,182,meloidogyne,oryzae
Root-knot nematodes (Meloidogyne spp.) in Europe,"Wesemael, Wim; Viaene, Nicole; Moens, Maurice",2011,Nematology,182,meloidogyne,javanica
"Detection of Bursaphelenchus Xylophilus, Causal Agent of Pine Wilt Disease on Pinus pinaster in Northwestern Spain.","Abelleira, A; Picoaga, A; Mansilla, J P; Aguin, O",2011,Plant Disease,179,bursaphelenchus,xylophilus
Suppression of Specific Apple Root Pathogens by Brassica napus Seed Meal Amendment Regardless of Glucosinolate Content.,"Mazzola, Mark; Granatstein, David M.; Elfving, Donald C.; Mullinix, Kent",2001,Phytopathology,179,pratylenchus,penetrans
A rapid and precise diagnostic method for detecting the Pinewood nematode Bursaphelenchus xylophilus by loop-mediated isothermal amplification.,"Kikuchi, Taisei; Aikawa, Takuya; Oeda, Yuka; Karim, Nurul; Kanzaki, Natsumi",2009,Phytopathology,178,bursaphelenchus,xylophilus
In-situ Hybridization to Messenger RNA in Heterodera glycines.,"de Boer, J M; Yan, Y; Smant, G; Davis, E L; Baum, T J",1998,Journal of Nematology,175,heterodera,glycines
Gene expression in Citrus sinensis (L.) Osbeck following infection with the bacterial pathogen Candidatus Liberibacter asiaticus causing Huanglongbing in Florida,"Albrecht, Ute; Bowman, Kim D.",2008,Plant Science,174,longidorus,asiaticus
"The Potential of Streptomyces as Biocontrol Agents against the Rice Blast Fungus, Magnaporthe oryzae (Pyricularia oryzae)","Law, Jodi Woan-Fei; Ser, Hooi-Leng; Khan, Tahir M.; Chuah, Lay-Hong; Pusparajah, Priyia; Chan, Kok-Gan; Goh, Bey-Hing; Lee, Learn-Han",2017,Frontiers in Microbiology,174,meloidogyne,oryzae
"Ex vitro composite plants: an inexpensive, rapid method for root biology","Collier, Ray; Fuchs, Beth; Walter, Nathalie; Lutke, William Kevin; Taylor, Christopher G.",2005,The Plant Journal,172,meloidogyne,incognita
Arabidopsis Spermidine Synthase Is Targeted by an Effector Protein of the Cyst Nematode Heterodera schachtii,"Hewezi, Tarek; Howe, Peter J.; Maier, Tom R.; Hussey, Richard S.; Mitchum, Melissa G.; Davis, Eric L.; Baum, Thomas J.",2009,Plant Physiology,172,heterodera,glycines
A nematode expansin acting on plants,"Qin, Ling; Kudla, Urszula; Roze, Erwin H. A.; Goverse, Aska; Popeijus, Herman; Nieuwland, Jeroen; Overmars, Hein; Jones, John T.; Schots, Arjen; Smant, Geert; Bakker, Jaap; Helder, Johannes",2004,Nature,171,globodera,rostochiensis
Structure Analysis Uncovers a Highly Diverse but Structurally Conserved Effector Family in Phytopathogenic Fungi,"de Guillen, Karine; Ortiz-Vallejo, Diana; Gracy, JÃÂ©rome; Fournier, Elisabeth; Kroj, Thomas; Padilla, AndrÃÂ©",2015,PLOS Pathogens,170,meloidogyne,oryzae
Pine Wilt Disease: a threat to European forestry,"Vicente, ClÃÂ¡udia; Espada, Margarida; Vieira, Paulo; Mota, Manuel",2011,European Journal of Plant Pathology,170,bursaphelenchus,xylophilus
Pest Risk Analysis (PRA) for the territories of the European Union (as PRA area) on Bursaphelenchus xylophilus and its vectors in the genus Monochamus,"EVANS, H. F.; McNAMARA, D. G.; BRAASCH, H.; CHADOEUF, J.; MAGNUSSON, C.",1996,EPPO Bulletin,169,bursaphelenchus,xylophilus
Biological control of the root-knot nematode Meloidogyne incognita by Paecilomyces lilacinus strain 251,"Kiewnick, S.; Sikora, R.A.",2006,Biological Control,169,meloidogyne,incognita
A family of glycosyl hydrolase family 45 cellulases from the pine wood nematode Bursaphelenchus xylophilus,"Kikuchi, Taisei; Jones, John T; Aikawa, Takuya; Kosaka, Hajime; Ogura, Nobuo",2004,FEBS Letters,169,bursaphelenchus,xylophilus
"Isolation of a cDNA encoding a beta-1,4-endoglucanase in the root-knot nematode Meloidogyne incognita and expression analysis during plant parasitism.","Rosso, M N; Favery, B; Piotte, C; Arthaud, L; De Boer, J M; Hussey, R S; Bakker, J; Baum, T J; Abad, P",1999,Molecular Plant-Microbe Interactions,169,meloidogyne,incognita
Biological control of the root-knot nematode Meloidogyne incognita by Paecilomyces lilacinus strain 251,"Kiewnick, S.; Sikora, R.A.",2006,Biological Control,169,meloidogyne,incognita
Wheat blast disease: danger on the move,"Cruz, Christian D.; Valent, Barbara",2017,Tropical Plant Pathology,167,meloidogyne,oryzae
Arabidopsis gene expression changes during cyst nematode parasitism revealed by statistical analyses of microarray expression profiles,"Puthoff, David P.; Nettleton, Dan; Rodermel, Steven R.; Baum, Thomas J.",2003,The Plant Journal,166,heterodera,glycines
"Effects of plant phenylpropanoid pathway products and selected terpenoids and alkaloids on the behaviour of the plant-parasitic nematodes Radopholus similis, Pratylenchus penetrans and Meloidogyne incognita","Wuyts, Nathalie; Swennen, Rony; De Waele, Dirk",2006,Nematology,165,meloidogyne,incognita
Effects of Paecilomyces lilacinus protease and chitinase on the eggshell structures and hatching of Meloidogyne javanica juveniles,"Khan, Alamgir; Williams, Keith L.; Nevalainen, Helena K.M.",2004,Biological Control,165,meloidogyne,javanica
"Effects of plant phenylpropanoid pathway products and selected terpenoids and alkaloids on the behaviour of the plant-parasitic nematodes Radopholus similis, Pratylenchus penetrans and Meloidogyne incognita","Wuyts, Nathalie; Swennen, Rony; De Waele, Dirk",2006,Nematology,165,meloidogyne,incognita
Nematicidal activity of essential oils: a review,"AndrÃÂ©s, Maria Fe; GonzÃÂ¡lez-Coloma, Azucena; Sanz, Jesus; Burillo, Jesus; Sainz, Paula",2012,Phytochemistry Reviews,163,bursaphelenchus,xylophilus
Potato-associated bacteria and their antagonistic potential towards plant-pathogenic fungi and the plant-parasitic nematode Meloidogyne incognita (Kofoid & White) Chitwood,"Krechel, Annette; Faupel, Annekathrin; Hallmann, Johannes; Ulrich, Andreas; Berg, Gabriele",2002,Canadian Journal of Microbiology,161,meloidogyne,incognita
