Term,Change_Percent,Recent_Freq,Older_Freq
different,-28.071479451206294,0.2183406113537118,0.30355220667384286
results,35.225618631732175,0.33624454148471616,0.24865446716899892
plant parasitic,-7.582491408490741,0.33624454148471616,0.3638320775026911
resistance,-1.5184460171660876,0.3074235807860262,0.31216361679224974
xiphinema,-41.84993149132059,0.5545851528384279,0.9537136706135629
rounded,36.48619643253644,0.3467248908296943,0.25403659849300325
data,31.894938369866853,0.28820960698689957,0.2185145317545748
using,8.11579365245189,0.48646288209606986,0.44994617868675996
plant,8.081428518109735,0.9528384279475982,0.8815931108719053
female,9.771384536347282,0.22096069868995633,0.20129171151776104
number,-25.597854644947365,0.1930131004366812,0.25941872981700753
rrna,30.267345948568675,0.5048034934497817,0.38751345532831
genus,33.29382407985028,0.32139737991266376,0.2411194833153929
rdna,31.894938369866853,0.28820960698689957,0.2185145317545748
analyses,13.961132037734588,0.32139737991266376,0.28202368137782563
stylet,13.0784306983461,0.3091703056768559,0.27341227125941875
tail,-6.669933753970822,0.5013100436681223,0.5371367061356297
parasitic,-17.01299171936437,0.43056768558951963,0.5188374596340151
new species,123.94373478077516,0.7737991266375546,0.3455328310010764
gene,-13.360916552798303,0.4262008733624454,0.49192680301399355
genes,-35.89304005606771,0.2794759825327511,0.43595263724434874
lip,22.368100794616637,0.2410480349344978,0.1969860064585576
respectively,-16.885717328789013,0.2200873362445415,0.26480086114101187
spp,-36.36441476153781,0.34934497816593885,0.5489773950484392
new,73.98394735223567,1.0637554585152837,0.6114101184068891
incognita,-38.26321851462096,0.3502183406113537,0.5672766415500539
d2,21.225789879270497,0.44366812227074237,0.36598493003229277
root knot,-37.192161904550794,0.2663755458515284,0.4241119483315393
length,-20.06485620526602,0.2908296943231441,0.3638320775026911
soil,-29.6203264412368,0.525764192139738,0.7470398277717977
morphological,50.37088791848616,0.6069868995633187,0.40365984930032295
phylogenetic,-7.9603306442788835,0.4349344978165939,0.47255113024757806
study,69.0320232896652,0.5021834061135371,0.29709364908503766
nematode species,-8.19894622465506,0.21048034934497817,0.22927879440258342
based,3.2928219427930108,0.5537117903930131,0.5360602798708288
population,55.07525072446351,0.5458515283842795,0.3519913885898816
control,37.44850551334968,0.3240174672489083,0.2357373519913886
group,-21.292619978438186,0.33973799126637555,0.4316469321851453
region,9.43380551709447,0.4829694323144105,0.4413347685683531
d3,22.172047353408892,0.4550218340611354,0.37244348762109797
species,2.145470912924349,3.040174672489083,2.976318622174381
nematode,-15.944589755391153,1.4078602620087337,1.67491926803014
used,-15.176657403731644,0.22096069868995633,0.2604951560818084
dna,-15.226271368985838,0.2034934497816594,0.24004305705059203
sp,-15.195608952638267,0.8882096069868995,1.047362755651238
host,6.5125137064040075,0.26026200873362443,0.24434876210979548
roots,-38.6209957983627,0.2794759825327511,0.45532831001076424
nematodes,-22.473509508829007,1.0506550218340611,1.3552206673842842
28s,39.57553363666902,0.42969432314410483,0.3078579117330463
molecular,4.188594724375195,0.6078602620087337,0.5834230355220668
samples,-2.563458355765584,0.22969432314410482,0.2357373519913886
analysis,-42.21661590400351,0.2960698689956332,0.5123789020452099
described,1.7495697196421216,0.33624454148471616,0.3304628632938644
meloidogyne,-32.259101464861644,0.5388646288209606,0.7954790096878364
d2 d3,22.304951213507312,0.44366812227074237,0.3627556512378902
populations,25.07401058545315,0.4698689956331878,0.3756727664155005
javanica,13.589519650655019,0.25065502183406113,0.22066738428417654
characterised,9.220691971783673,0.21397379912663755,0.19590958019375673
sequences,19.513027469381807,0.5004366812227075,0.418729817007535
plants,-12.103347889374087,0.45414847161572053,0.5166846071044133
18s,9.220691971783673,0.21397379912663755,0.19590958019375673
rotylenchus,-36.210811624755316,0.19912663755458515,0.31216361679224974
body,27.606094609758415,0.44366812227074237,0.34768568353067814
long,137.97120829067507,0.5353711790393013,0.22497308934337998
root,-23.473501976693115,0.6960698689956332,0.9095801937567277
knot,-36.98623456653293,0.26724890829694326,0.4241119483315393
longidorus,-62.41390377452076,0.18165938864628822,0.48331539289558667
expansion,-15.847197661409654,0.21921397379912663,0.2604951560818084
identified,-4.546622142306713,0.26200873362445415,0.2744886975242196
pratylenchus,-55.649952499940134,0.2611353711790393,0.5888051668460711
parasitic nematodes,-15.887184007050998,0.2960698689956332,0.3519913885898816
