Genus,Species,Host,Year
Meloidogyne,africana,Coffea arabica,2017
Meloidogyne,konaensis,Cherry,2020
Meloidogyne,konaensis,Coffea liberica,2020
Meloidogyne,konaensis,Coffea canephora,2020
Meloidogyne,konaensis,Coffea arabica,2020
Meloidogyne,konaensis,Coffee,2020
Pratylenchus,convallariae,Rose,1985
Pratylenchus,convallariae,Potato,1985
Pratylenchus,convallariae,Raspberry,1985
Rotylenchulus,macrodoratus,Olive,1980
Aphelenchoides,iranicus,Oak,2016
Rotylenchus,laurentinus,Yam,2019
Meloidogyne,JAVANICA,Vitis cinerea,2018
Meloidogyne,JAVANICA,Vitis vinifera,2018
Meloidogyne,ornatum,Peanut,1998
Aphelenchoides,eldaricus,Pine,2017
Bursaphelenchus,xylophilus,Pine,2021
Pratylenchus,neglectus,Soybean,1979
Longidorus,elongatus,Phaseolus vulgaris,1974
Longidorus,elongatus,Raspberry,1974
Rotylenchulus,reniformis,Pine,2013
Globodera,rostochiensis,Potato,2004
Rotylenchus,urmiaensis,Olive,2015
Xiphinema,elongatum,Sugarcane,2008
Meloidogyne,incognita,Cucumber,2020
Meloidogyne,incognita,Tomato,2020
Bursaphelenchus,xylophilus,Pine,2013
Trichodorus,lownsberyi,Peach,2021
Trichodorus,lownsberyi,Quercus crassipes,2021
Trichodorus,lownsberyi,Oak,2021
Meloidogyne,enterolobii,Tomato,2020
Meloidogyne,enterolobii,Solanum lycopersicum,2020
Helicotylenchus,canadensis,Clover,1961
Helicotylenchus,canadensis,Trifolium pratense,1961
Meloidogyne,petuniae,Peanut,2009
Meloidogyne,petuniae,Corn,2009
Meloidogyne,petuniae,Pepper,2009
Meloidogyne,petuniae,Cotton,2009
Meloidogyne,petuniae,Tomato,2009
Meloidogyne,petuniae,Carrot,2009
Meloidogyne,petuniae,Tobacco,2009
Bursaphelenchus,xylophilus,Pine,2021
Meloidogyne,ovalis,Quercus palustris,1979
Meloidogyne,ovalis,Tomato,1979
Meloidogyne,ovalis,Oak,1979
Meloidogyne,decalineata,Coffea arabica,2017
Ditylenchus,destructor,Garlic,2020
Meloidogyne,exigua,Coffea arabica,2010
Meloidogyne,exigua,Coffee,2010
Meloidogyne,incognita,Tomato,2006
Xiphinema,simile,Olive,2014
Longidorus,piceicola,Oak,2017
Radopholus,oryzae,Pepper,2019
Radopholus,oryzae,Citrus,2019
Radopholus,oryzae,Tea,2019
Radopholus,oryzae,Potato,2019
Radopholus,oryzae,Sweet Potato,2019
Criconema,princeps,Oak,2000
Rotylenchus,goodeyi,Pea,1980
Rotylenchus,goodeyi,Bean,1980
Heterodera,trifolii,Ryegrass,1976
Heterodera,trifolii,Clover,1976
Bursaphelenchus,xylophilus,Pine,2013
Meloidogyne,incognita,Rice,2020
Tylenchorhynchus,teeni,Fig,1984
Rotylenchus,cypriensis,Cherry,2020
Rotylenchus,cypriensis,Sunflower,2020
Rotylenchus,cypriensis,Apple,2020
Rotylenchus,cypriensis,Olive,2020
Rotylenchus,cypriensis,Almond,2020
Rotylenchus,cypriensis,Walnut,2020
Rotylenchus,cypriensis,Pear,2020
Rotylenchus,cypriensis,Peach,2020
Anguina,funesta,Ryegrass,1992
Anguina,funesta,Potato,1992
Anguina,funesta,Clover,1992
Pratylenchus,zeae,Rice,1999
Pratylenchus,zeae,Oryza glaberrima,1999
Meloidogyne,arenaria,Tomato,2011
Meloidogyne,incognita,Beta vulgaris,2020
Meloidogyne,incognita,Beetroot,2020
Bursaphelenchus,xylophilus,Pine,2021
Rotylenchus,paravitis,Sunflower,2013
Rotylenchus,wimbii,Millet,2021
Scutellonema,bradys,Yam,1998
Scutellonema,bradys,Tomato,1998
Meloidogyne,arenaria,Tomato,2011
Helicotylenchus,cavenessi,Wheat,2002
Helicotylenchus,cavenessi,Barley,2002
Helicotylenchus,cavenessi,Corn,2002
Helicotylenchus,cavenessi,Tomato,2002
Helicotylenchus,cavenessi,Eggplant,2002
Helicotylenchus,cavenessi,Potato,2002
Helicotylenchus,cavenessi,Beet,2002
Heterodera,avenae,Wheat,2009
Rotylenchulus,reniformis,Pine,2013
Heterodera,betae,Sugar Beet,2011
Heterodera,betae,Beet,2011
Scutellonema,paralabiatum,Wheat,2010
Scutellonema,paralabiatum,Barley,2010
Scutellonema,paralabiatum,Millet,2010
Scutellonema,paralabiatum,Maize,2010
Scutellonema,paralabiatum,Sorghum,2010
Heterodera,cajani,Pea,1990
Heterodera,cajani,Citrus,1990
Rotylenchulus,macrodoratus,Olive,1993
Rotylenchulus,reniformis,Pine,2013
Heterodera,iri,Clover,1975
Scutellonema,paralabiatum,Wheat,2010
Scutellonema,paralabiatum,Barley,2010
Scutellonema,paralabiatum,Millet,2010
Scutellonema,paralabiatum,Maize,2010
Scutellonema,paralabiatum,Sorghum,2010
Ditylenchus,dipsaci,Clover,1999
Ditylenchus,dipsaci,Trifolium repens,1999
Trichodorus,californicus,Pine,1985
Trichodorus,petrusalberti,Rice,1988
Trichodorus,petrusalberti,Oryza sativa,1988
Hirschmanniella,zostericola,Rice,2018
Meloidogyne,hapla,Tomato,2020
Xiphinema,diversicaudatum,Cherry,1981
Xiphinema,celtiense,Olive,2016
Meloidogyne,incognita,Cucumber,2020
Meloidogyne,incognita,Tomato,2020
Meloidogyne,carolinensis,Blueberry,1982
Radopholus,similis,Pine,2013
Xiphinema,zulu,Sugarcane,2007
Meloidogyne,dunensis,Olive,2015
Heterodera,glycines,Soybean,2002
Heterodera,glycines,Soybean,2002
Pratylenchus,brachyurus,Soybean,2021
Heterodera,schachtii,Sugar Beet,2008
Heterodera,schachtii,Beet,2008
Hemicycliophora,ahvasiensis,Palm,2020
Pratylenchus,thornei,Wheat,2010
Meloidogyne,javanica,Tomato,1986
Trichodorus,similis,Tobacco,2006
Aphelenchoides,medicagus,Medicago sativa,2019
Aphelenchoides,pseudobesseyi,Strawberry,2021
Aphelenchoides,pseudobesseyi,Rice,2021
Xiphinema,brasiliense,Acacia,2016
Meloidogyne,incognita,Rice,2020
Hoplolaimus,smokyensis,Tulip,2019
Ditylenchus,gigas,Bean,2011
Meloidogyne,javanica,Clover,1999
Meloidogyne,javanica,Trifolium repens,1999
Meloidogyne,incognita,Strawberry,2021
Longidorus,orientalis,Palm,2015
Pratylenchus,parafloridensis,Grass,2010
Longidorus,fasciatus,Tobacco,2005
Longidorus,fasciatus,Lettuce,2005
Meloidogyne,brasiliensis,Pea,2017
Meloidogyne,brasiliensis,Tomato,2017
Meloidogyne,javanica,Cowpea,1997
Meloidogyne,javanica,Vigna unguiculata,1997
Meloidogyne,javanica,Vigna species,1997
Meloidodera,ferrisi,Oak,2023
Rotylenchus,gracilidens,Yam,2019
Heterodera,glycines,Tomato,1977
Pratylenchus,arlingtoni,Grass,2001
Bursaphelenchus,xylophilus,Pine,2013
Helicotylenchus,multicinctus,Banana,1999
Helicotylenchus,multicinctus,Millet,1999
Pratylenchus,penetrans,Soybean,2020
Rotylenchus,microstriatus,Citrus reticulata,1983
Rotylenchus,microstriatus,Citrus,1983
Longidorus,quercus,Peach,2021
Longidorus,quercus,Quercus crassipes,2021
Longidorus,quercus,Oak,2021
Heterodera,schachtii,Beet,2010
Aphelenchoides,stellatus,Rose,2014
Heterodera,trifolii,Ryegrass,2007
Heterodera,trifolii,Clover,2007
Heterodera,trifolii,Trifolium repens,2007
Rotylenchulus,reniformis,Pine,2013
Helicotylenchus,digonicus,Cherry,2020
Helicotylenchus,digonicus,Sunflower,2020
Helicotylenchus,digonicus,Apple,2020
Helicotylenchus,digonicus,Olive,2020
Helicotylenchus,digonicus,Almond,2020
Helicotylenchus,digonicus,Walnut,2020
Helicotylenchus,digonicus,Pear,2020
Helicotylenchus,digonicus,Peach,2020
Pratylenchus,scribneri,Potato,1980
Aphelenchoides,besseyi,Pine,2013
Meloidogyne,megatyla,Ginger,2005
Meloidogyne,incognita,Tomato,2006
Meloidogyne,lusitanica,Pear,1991
Meloidogyne,lusitanica,Olive,1991
Hoplolaimus,indicus,Maize,2020
Hoplolaimus,indicus,Cauliflower,2020
Hoplolaimus,indicus,Cabbage,2020
Hoplolaimus,indicus,Radish,2020
Meloidogyne,incognita,Wheat,2020
Heterodera,avenae,Wheat,1977
Anguina,agropyronifloris,Ryegrass,2001
Heterodera,sacchari,Rice,2003
Heterodera,sacchari,Oryza sativa,2003
Rotylenchulus,reniformis,Pine,2013
Meloidogyne,christiei,Prunus accessions,2004
Meloidogyne,christiei,Peach,2004
Helicotylenchus,multicinctus,Banana,2014
Meloidogyne,javanica,Tomato,2020
Meloidogyne,javanica,Soybean,2013
Scutellonema,clathricaudatum,Rice,2001
Pratylenchus,kumamotoensis,Olive,2014
Aphelenchoides,pseudobesseyi,Strawberry,2021
Aphelenchoides,pseudobesseyi,Rice,2021
Xiphinema,barooghii,Triticum aestivum,2019
Xiphinema,barooghii,Wheat,2019
Meloidogyne,xenoplax,Vitis vinifera,2014
Anguina,funesta,Wheat,1989
Pratylenchus,penetrans,Soybean,2020
Heterodera,lespedezae,Clover,1989
Longidorus,breviannulatus,Corn,1975
Radopholus,similis,Banana,1998
Pratylenchus,penetrans,Apple,2011
Radopholus,similis,Banana,1998
Trichodorus,primitivus,Pea,1981
Trichodorus,primitivus,Spinach,1981
Trichodorus,primitivus,Tobacco,1981
Meloidogyne,javanica,Cucumber,2022
Meloidogyne,javanica,Tomato,2022
Heterodera,trifolii,Clover,2015
Heterodera,trifolii,Trifolium repens,2015
Meloidogyne,oleae,Olive,2018
Heterodera,schachtii,Sugar Beet,2008
Heterodera,schachtii,Beet,2008
Heterodera,goldeni,Lemon,2002
Heterodera,goldeni,Rice,2002
Heterodera,goldeni,Grass,2002
Rotylenchulus,parvus,Soybean,2001
Xiphinema,vanderlindei,Soybean,2001
Bursaphelenchus,platzeri,Palm,2006
Bursaphelenchus,platzeri,Potato,2006
Xiphinema,oleae,Olive,2016
Hoplolaimus,seinhorsti,Musa roots,2006
Hoplolaimus,seinhorsti,Banana,2006
Dolichodorus,marylandicus,Pine,1981
Dolichodorus,marylandicus,Grass,1981
Pratylenchus,neglectus,Pea,2008
Pratylenchus,neglectus,Wheat,2008
Pratylenchus,neglectus,Barley,2008
Pratylenchus,thornei,Wheat,2010
Tylenchorhynchus,microconus,Acacia,1982
Heterodera,carotae,Carrot,1993
Heterodera,carotae,Wheat,1993
Heterodera,carotae,Potato,1993
Heterodera,oryzicola,Rice,2012
Heterodera,oryzicola,Oryza sativa,2012
Meloidogyne,javanica,Clover,1999
Meloidogyne,javanica,Trifolium repens,1999
Xiphinema,iznajarense,Olive,2016
Rotylenchulus,macrosoma,Olive,2003
Globodera,rostochiensis,Potato,2020
Helicotylenchus,dihystera,Peanut,2020
Helicotylenchus,dihystera,Cotton,2020
Heterodera,schachtii,Sugar Beet,2008
Heterodera,schachtii,Beet,2008
Ditylenchus,oncogenus,Solanum tuberosum,2015
Ditylenchus,oncogenus,Potato,2015
Ditylenchus,oncogenus,Bean,2015
Dolichodorus,grandaspicatus,Maple,1982
Globodera,pallida,Solanum tuberosum,1981
Globodera,pallida,Potato,1981
Rotylenchulus,macrosoma,Peanut,2021
Rotylenchulus,macrosoma,Wheat,2021
Rotylenchulus,macrosoma,Chickpea,2021
Rotylenchulus,macrosoma,Corn,2021
Rotylenchulus,macrosoma,Pea,2021
Rotylenchulus,macrosoma,Hazelnut,2021
Rotylenchulus,macrosoma,Bean,2021
Rotylenchulus,macrosoma,Soybean,2021
Rotylenchulus,macrosoma,Olive,2021
Rotylenchulus,macrosoma,Almond,2021
Rotylenchulus,macrosoma,Peach,2021
Xiphinema,vanderlindei,Soybean,2001
Helicotylenchus,cavenessi,Wheat,2002
Helicotylenchus,cavenessi,Barley,2002
Helicotylenchus,cavenessi,Corn,2002
Helicotylenchus,cavenessi,Tomato,2002
Helicotylenchus,cavenessi,Eggplant,2002
Helicotylenchus,cavenessi,Potato,2002
Helicotylenchus,cavenessi,Beet,2002
Meloidogyne,hispanica,Tomato,2020
Meloidogyne,hispanica,Solanum lycopersicum,2020
Heterodera,australis,Wheat,2011
Meloidogyne,incognita,Tomato,2015
Xiphinema,index,Pine,2013
Tylenchulus,semipenetrans,Pea,1990
Tylenchulus,semipenetrans,Citrus,1990
Globodera,pallida,Potato,1977
Bursaphelenchus,aberrans,Pinus massoniana,2002
Pratylenchus,arlingtoni,Grass,2001
Rotylenchus,cypriensis,Olive,2015
Anguina,australis,Ryegrass,2001
Anguina,australis,Grass,2001
Heterodera,fici,Lemon,1988
Heterodera,avenae,Wheat,2012
Heterodera,avenae,Barley,2012
Heterodera,avenae,Oat,2012
Helicotylenchus,ciceri,Lentil,2020
Helicotylenchus,ciceri,Chickpea,2020
Scutellonema,commune,Coconut,2014
Scutellonema,clavicaudatum,Sugarcane,2017
Scutellonema,clavicaudatum,Grass,2017
Xiphinema,horvatovicae,Olive,2015
Scutellonema,siamense,Sugarcane,2017
Scutellonema,siamense,Grass,2017
Heterodera,salixophila,Willow,2020
Globodera,virginiae,Solanum dulcamara,1995
Globodera,virginiae,Potato,1995
Meloidogyne,hapla,Quercus phellos,1977
Meloidogyne,hapla,Phaseolus vulgaris,1977
Meloidogyne,hapla,Glycine max,1977
Meloidogyne,hapla,Bean,1977
Paratrichodorus,teres,Pea,1996
Paratrichodorus,teres,Tobacco,1996
Paratrichodorus,teres,Tulip,1996
Globodera,rostochiensis,Potato,2004
Anguina,microlaenae,Ryegrass,2001
Heterodera,trifolii,Clover,1983
Meloidogyne,enterolobii,Tomato,2020
Meloidogyne,enterolobii,Solanum lycopersicum,2020
Radopholus,musicola,Banana,2001
Radopholus,musicola,Musa acuminata,2001
Meloidogyne,incognita,Rice,2020
Hemicycliophora,lutosa,Sugarcane,2010
Meloidogyne,incognita,Tomato,2006
Heterodera,ciceri,Pea,1993
Heterodera,ciceri,Lentil,1993
Pratylenchus,subpenetrans,Chrysanthemum,2006
Pratylenchus,delattrei,Chickpea,2023
Anguina,parietinus,Wheat,2002
Anguina,parietinus,Barley,2002
Anguina,parietinus,Corn,2002
Anguina,parietinus,Tomato,2002
Anguina,parietinus,Eggplant,2002
Anguina,parietinus,Potato,2002
Anguina,parietinus,Beet,2002
Rotylenchus,goodeyi,Grass,2002
Ditylenchus,persicus,Alfalfa,2018
Pratylenchus,penetrans,Brassica juncea,2019
Heterodera,glycines,Soybean,2010
Meloidogyne,incognita,Beta vulgaris,2020
Meloidogyne,incognita,Beetroot,2020
Rotylenchulus,reniformis,Rye,1998
Rotylenchulus,reniformis,Clover,1998
Rotylenchulus,reniformis,Trifolium incarnatum,1998
Bursaphelenchus,xylophilus,Pine,2011
Pratylenchus,thornei,Rose,1963
Pratylenchus,thornei,Chrysanthemum,1963
Pratylenchus,thornei,Phaseolus angularis,1963
Pratylenchus,thornei,Saccharum officinarum,1963
Pratylenchus,thornei,Trifolium repens,1963
Pratylenchus,thornei,Fig,1963
Meloidogyne,javanica,Plantain,2004
Meloidogyne,javanica,Musa spp,2004
Rotylenchus,urmiaensis,Olive,2015
Globodera,pallida,Potato,2020
Radopholus,similis,Banana,2020
Globodera,rostochiensis,Potato,2016
Meloidogyne,incognita,Beet,2010
Meloidogyne,incognita,Wheat,2020
Meloidogyne,Javanica,Pepper,2015
Meloidogyne,chitwoodi,Tomato,2011
Heterodera,sacchari,Rice,1999
Heterodera,sacchari,Oryza glaberrima,1999
Aphelenchoides,tabarestanensis,Pine,2019
Aphelenchoides,tabarestanensis,Pinus brutia,2019
Heterodera,fici,Lemon,2017
Heterodera,fici,Fig,2017
Helicotylenchus,dihystera,Sugarcane,2007
Xiphinema,index,Medicago plant,2020
Xiphinema,index,Tomato,2020
Xiphinema,index,Medicago species,2020
Globodera,pallida,Brassica juncea,2011
Aphelenchoides,oryzae,Strawberry,2021
Aphelenchoides,oryzae,Rice,2021
Pratylenchus,loosi,Alfalfa,1975
Heterodera,graminophila,Grass,1972
Xiphinema,zulu,Sugarcane,2007
Pratylenchus,crenatus,Potato,1979
Pratylenchus,crenatus,Grass,1979
Pratylenchus,thornei,Wheat,2010
Meloidogyne,oleae,Olive,2018
Hirschmanniella,mucronata,Rice,2020
Anguina,limberi,Wheat,2002
Anguina,limberi,Barley,2002
Anguina,limberi,Corn,2002
Anguina,limberi,Tomato,2002
Anguina,limberi,Eggplant,2002
Anguina,limberi,Potato,2002
Anguina,limberi,Beet,2002
Heterodera,zeae,Maize,2021
Bursaphelenchus,xylophilus,Pine,2013
Meloidogyne,naasi,Wheat,2006
Meloidogyne,naasi,Grass,2006
Meloidogyne,incognita,Solanum macrocarpon,2011
Meloidogyne,incognita,Solanum torvum,2011
Meloidogyne,incognita,Eggplant,2011
Meloidogyne,incognita,Solanum melongena,2011
Meloidogyne,incognita,Solanum aethiopicum,2011
Meloidogyne,incognita,Solanum incanum,2011
Pratylenchus,zeae,Carrot,2012
Pratylenchus,zeae,Sugarcane,2012
Pratylenchus,zeae,Wheat,2012
Meloidogyne,Phaseoli,Chickpea,2009
Meloidogyne,hapla,Tomato,2011
Rotylenchulus,reniformis,Tomato,2020
Tylenchorhynchus,martini,Sugarcane,1960
Ditylenchus,dipsaci,Pea,1993
Ditylenchus,dipsaci,Faba Bean,1993
Ditylenchus,dipsaci,Chickpea,1993
Ditylenchus,dipsaci,Bean,1993
Heterodera,glycines,Pea,1966
Heterodera,glycines,Cabbage,1966
Heterodera,glycines,Carrot,1966
Heterodera,glycines,Potato,1966
Heterodera,glycines,Clover,1966
Heterodera,glycines,Tobacco,1966
Heterodera,glycines,Soybean,1966
Heterodera,glycines,Beet,1966
Radopholus,similis,Banana,2020
Xiphinema,macrodora,Olive,2016
Globodera,tabacum,Tobacco,2000
Longidorus,fasciatus,Bean,1995
Tylenchulus,clavicaudatus,Pinus elliottii,1983
Tylenchulus,clavicaudatus,Oak,1983
Tylenchulus,clavicaudatus,Pine,1983
Tylenchulus,clavicaudatus,Pinus clausa,1983
Tylenchulus,clavicaudatus,Quercus falcata,1983
Hoplolaimus,magnistylus,Cotton,2008
Aphelenchoides,heterophallus,Banana,2021
Meloidogyne,hapla,Tomato,2020
Heterodera,carotae,Alfalfa,2010
Heterodera,carotae,Medicago genus,2010
Heterodera,carotae,Carrot,2010
Heterodera,carotae,Potato,2010
Heterodera,carotae,Medicago sativa,2010
Rotylenchus,caudaphasmidius,Banana,1979
Meloidogyne,incognita,Lycopersicon peruvianum,1998
Meloidogyne,incognita,Potato,1998
Meloidogyne,incognita,Tomato,1998
Rotylenchus,gracilidens,Yam,2019
Meloidogyne,ovalis,Coffea canephora,2018
Meloidogyne,ovalis,Coffee,2018
Aphelenchoides,pseudogoodeyi,Strawberry,2021
Aphelenchoides,pseudogoodeyi,Lily,2021
Aphelenchoides,pseudogoodeyi,Rice,2021
Aphelenchoides,pseudogoodeyi,Grass,2021
Pratylenchus,delattrei,Apple,2011
Bursaphelenchus,xylophilus,Pine,2021
Longidorus,pius,Vitis vinifera,2011
Longidorus,macrosoma,Cherry,1976
Longidorus,macrosoma,Barley,1976
Longidorus,macrosoma,Raspberry,1976
Longidorus,macrosoma,Ryegrass,1976
Longidorus,macrosoma,Grass,1976
Meloidogyne,javanica,Tomato,2020
Globodera,pallida,Potato,2020
Meloidogyne,konaensis,Peanut,1996
Meloidogyne,konaensis,Pepper,1996
Meloidogyne,konaensis,Cotton,1996
Meloidogyne,konaensis,Tomato,1996
Meloidogyne,konaensis,Tobacco,1996
Meloidogyne,konaensis,Coffee,1996
Meloidogyne,ovalis,Coffea canephora,2018
Meloidogyne,ovalis,Coffee,2018
Criconema,princeps,Oak,2000
Mesocriconema,antipolitanum,Sugar Beet,2022
Mesocriconema,antipolitanum,Alfalfa,2022
Mesocriconema,antipolitanum,Beet,2022
Mesocriconema,antipolitanum,Wheat,2022
Meloidogyne,Arenaria,Soybean,2012
Hoplolaimus,concaudajuvencus,Ryegrass,1970
Hoplolaimus,concaudajuvencus,Tulip,1970
Meloidogyne,exigua,Coffee,2002
Globodera,pallida,Potato,2020
Xiphinema,macroacanthum,Olive,2013
Meloidogyne,incognita,Tomato,2013
Longidorus,breviannulatus,Potato,1989
Longidorus,breviannulatus,Corn,1989
Pratylenchus,thornei,Wheat,2010
Meloidogyne,incognita,Solanum macrocarpon,2011
Meloidogyne,incognita,Solanum torvum,2011
Meloidogyne,incognita,Eggplant,2011
Meloidogyne,incognita,Solanum melongena,2011
Meloidogyne,incognita,Solanum aethiopicum,2011
Meloidogyne,incognita,Solanum incanum,2011
Globodera,tabacum,Tobacco,1993
Meloidogyne,arenaria,Tomato,2020
Meloidogyne,incognita,Solanum nigrum,2020
Meloidogyne,incognita,Tomato,2011
Meloidodera,alni,Pine,2012
Meloidodera,alni,Pinus parviflora,2012
Meloidogyne,enterolobii,Tomato,2020
Meloidogyne,enterolobii,Solanum lycopersicum,2020
Longidorus,pisi,Soybean,2001
Pratylenchus,penetrans,Tomato,1973
Meloidogyne,incognita,Tomato,2013
Pratylenchus,goodeyi,Banana,2021
Pratylenchus,goodeyi,Tomato,2021
Pratylenchus,goodeyi,Musa acuminata,2021
Aphelenchoides,fujianensis,Pinus massoniana,2010
Globodera,pallida,Brassica juncea,2011
Meloidogyne,gramincola,Rice,2018
Rotylenchulus,reniformis,Cotton,1996
Xiphinema,italiae,Strawberry,1989
Xiphinema,italiae,Tomato,1989
Xiphinema,italiae,Raspberry,1989
Belonolaimus,longicaudatus,Soybean,2003
Rotylenchus,paravitis,Sunflower,2013
Bursaphelenchus,rainulfi,Pine,2013
Helicotylenchus,abunaamai,Citrus,2019
Tylenchulus,semipenetrans,Vitis species,2012
Tylenchulus,semipenetrans,Grape,2012
Hemicycliophora,lutosa,Sugarcane,2010
Nacobbus,aberrans,Pine,2013
Meloidogyne,incognita,Tomato,2011
Meloidogyne,hapla,Tomato,2011
Xiphinema,herakliense,Olive,2015
Tylenchorhynchus,brevilineatus,Groundnut,1986
Pratylenchus,penetrans,Apple,2015
Pratylenchus,penetrans,Brassica juncea,2015
Meloidogyne,incognita,Tomato,2014
Anguina,tritici,Triticum aestivum,2013
Anguina,tritici,Wheat,2013
Meloidogyne,lopezi,Coffea arabica,2014
Meloidogyne,lopezi,Coffee,2014
Helicotylenchus,dihystera,Sugarcane,2007
Xiphinema,israeliae,Olive,2014
Hoplolaimus,columbus,Sugarcane,2015
Pratylenchus,zeae,Carrot,2012
Pratylenchus,zeae,Sugarcane,2012
Pratylenchus,zeae,Wheat,2012
Meloidogyne,incognita,Cucumber,2020
Meloidogyne,incognita,Tomato,2020
Tylenchorhynchus,martini,Grass,1970
Meloidogyne,ethiopica,Peanut,2014
Meloidogyne,ethiopica,Pepper,2014
Meloidogyne,ethiopica,Cotton,2014
Meloidogyne,ethiopica,Tomato,2014
Meloidogyne,ethiopica,Tobacco,2014
Globodera,Pallida,Potato,2023
Xiphinema,vuittenezi,Cherry,1981
Bursaphelenchus,leoni,Pinus massoniana,2020
Longidorus,americanus,Pine,2005
Longidorus,americanus,Pinus taeda,2005
Tylenchorhynchus,claytoni,Fescue,1975
Tylenchorhynchus,claytoni,Grass,1975
Meloidogyne,incognita,Tomato,2014
Heterodera,ciceri,Chickpea,2019
Pratylenchus,parafloridensis,Grass,2010
Longidorus,caespiticola,Vitis vinifera,2011
Meloidogyne,christiei,Quercus palustris,2015
Meloidogyne,christiei,Quercus brantii,2015
Meloidogyne,christiei,Quercus spp,2015
Meloidogyne,christiei,Oak,2015
Meloidogyne,christiei,Pine,2015
Meloidogyne,javanica,Tomato,2020
Heterodera,medicaginis,Alfalfa,2020
Pratylenchus,ekrami,Maize,2013
Pratylenchus,flakkensis,Soybean,2020
Pratylenchus,flakkensis,Grass,2020
Pratylenchus,P.brachyurus,Cotton,2020
Pratylenchus,P.brachyurus,Banana,2020
Pratylenchus,P.brachyurus,Tomato,2020
Meloidogyne,incognita,Wheat,2020
Pratylenchus,agilis,Soybean,1986
Pratylenchus,agilis,Tomato,1986
Pratylenchus,agilis,Corn,1986
Heterodera,graminophila,Grass,1972
Rotylenchulus,reniformis,Tomato,2020
Pratylenchus,thornei,Pea,2008
Pratylenchus,thornei,Wheat,2008
Pratylenchus,thornei,Barley,2008
Meloidogyne,incognita,Beet,2010
Globodera,rostochiensis,Tomato,2012
Globodera,rostochiensis,Solanum pimpinellifolium,2012
Rotylenchulus,reniformis,Cotton,2007
Heterodera,avenae,Wheat,2012
Heterodera,avenae,Triticum durum,2012
Xiphinema,cadavalense,Olive,2016
Longidorus,juglans,Walnut,2017
Xiphinema,macroacanthum,Olive,2013
Heterodera,avenae,Wheat,1997
Xiphinema,robbinsi,Olive,2016
Pratylenchus,haiduongensis,Carrot,2017
Pratylenchus,haiduongensis,Daucus carota,2017
Heterodera,zeae,Corn,1997
Heterodera,zeae,Pea,1997
Heterodera,zeae,Sugar Beet,1997
Heterodera,zeae,Clover,1997
Heterodera,zeae,Soybean,1997
Heterodera,zeae,Beet,1997
Radopholus,musicola,Banana,2001
Radopholus,musicola,Musa acuminata,2001
Meloidogyne,megadora,Coffee,2016
Hemicycliophora,gigas,Sugarcane,1960
Meloidogyne,incognita,Beet,2010
Xiphinema,cadavalense,Olive,2016
Pratylenchus,penetrans,Alfalfa,1969
Helicotylenchus,abuharazi,Grass,2022
Meloidogyne,incognita,Tomato,2020
Belonolaimus,longicaudatus,Cucumber,2020
Belonolaimus,longicaudatus,Cucumis sativus,2020
Belonolaimus,longicaudatus,Tomato,2020
Belonolaimus,longicaudatus,Strawberry,2020
Belonolaimus,longicaudatus,Cucumis melo,2020
Meloidogyne,arabicida,Coffea arabica,2014
Meloidogyne,arabicida,Coffee,2014
Meloidogyne,incognita,Tomato,2013
Criconema,annuliferum,Apricot,2022
Criconema,annuliferum,Prunus spp,2022
Criconema,annuliferum,Almond,2022
Criconema,annuliferum,Olive,2022
Criconema,annuliferum,Peach,2022
Criconema,annuliferum,Plum,2022
Meloidogyne,hapla,Tomato,2020
Pratylenchus,brzeskii,Grass,2008
Pratylenchus,capsici,Pepper,2019
Meloidogyne,paranaensis,Tomato,2020
Meloidogyne,paranaensis,Coffee,2020
Longidorus,diadecturus,Peach,2020
Anguina,radicicola,Wheat,2007
Anguina,radicicola,Grass,2007
Meloidogyne,Incognita,Soybean,2012
Heterodera,hainanensis,Lemon,2013
Radopholus,Similis,Plantain,2022
Radopholus,Similis,Banana,2022
Xiphinema,poasense,Eucalyptus,2018
Heterodera,mani,Grass,2011
Hirschmanniella,shamimi,Rice,2009
Ditylenchus,dipsaci,Pine,2013
Hemicycliophora,geraerti,Peach,2023
Hemicycliophora,geraerti,Prunus persica,2023
Belonolaimus,longicaudatus,Palm,1997
Aphelenchoides,heterophallus,Banana,2021
Helicotylenchus,dihystera,Peanut,2020
Helicotylenchus,dihystera,Cotton,2020
Tylenchorhynchus,zeae,Corn,2020
Tylenchorhynchus,nudus,Pineapple,1968
Tylenchorhynchus,nudus,Rice,1968
Tylenchorhynchus,nudus,Citrus,1968
Tylenchorhynchus,nudus,Bean,1968
Tylenchorhynchus,nudus,Tea,1968
Tylenchorhynchus,nudus,Tobacco,1968
Tylenchorhynchus,nudus,Potato,1968
Tylenchorhynchus,nudus,Papaya,1968
Tylenchorhynchus,nudus,Banana,1968
Mesocriconema,ornatum,Peanut,1996
Mesocriconema,ornatum,Potato,1996
Mesocriconema,ornatum,Sweet Potato,1996
Mesocriconema,ornatum,Sorghum,1996
Helicotylenchus,scoticus,Grass,1985
Pratylenchus,delattrei,Apple,2011
Longidorus,americanus,Pine,2005
Longidorus,americanus,Pinus taeda,2005
Longidorus,elongatus,Tomato,1964
Longidorus,elongatus,Raspberry,1964
Rotylenchus,laurentinus,Yam,2019
Rotylenchulus,borealis,Maize,2001
Rotylenchulus,borealis,Bean,2001
Bursaphelenchus,xylophilus,Pine,2011
