Genus,N_Publications,N_Species,Mean_Citations,Bias_Ratio,Publications_Per_Species,Bias_Category
2008,1,1,2.0,0.010589013898080741,1.0,Severely Understudied
Anguina,54,17,16.833333333333332,0.57180675049636,3.176470588235294,Understudied
Aphelenchoides,111,33,78.27027027027027,1.1753805426869623,3.3636363636363638,Adequately Studied
Belonolaimus,19,4,24.57894736842105,0.20119126406353408,4.75,Severely Understudied
Bursaphelenchus,140,30,212.57857142857142,1.4824619457313037,4.666666666666667,Adequately Studied
Criconema,37,13,7.702702702702703,0.39179351422898745,2.8461538461538463,Understudied
Criconemoides,21,7,10.333333333333334,0.22236929185969556,3.0,Severely Understudied
Ditylenchus,74,17,93.47297297297297,0.7835870284579749,4.352941176470588,Adequately Studied
Dolichodorus,24,9,4.916666666666667,0.2541363335539378,2.6666666666666665,Understudied
Globodera,105,14,99.79047619047618,1.1118464592984778,7.5,Adequately Studied
Helicotylenchus,69,19,19.82608695652174,0.7306419589675711,3.6315789473684212,Understudied
Hemicycliophora,43,16,6.395348837209302,0.4553275976174719,2.6875,Understudied
Heterodera,228,51,86.53508771929825,2.414295168762409,4.470588235294118,Overstudied
Hirschmanniella,37,13,23.243243243243242,0.39179351422898745,2.8461538461538463,Understudied
Hoplolaimus,47,15,11.957446808510639,0.49768365320979485,3.1333333333333333,Understudied
Litylenchus,6,2,15.5,0.06353408338848444,3.0,Severely Understudied
Longidorus,165,60,11.987878787878788,1.7471872931833223,2.75,Overstudied
Meloidodera,16,7,16.1875,0.16942422236929186,2.2857142857142856,Severely Understudied
Meloidogyne,620,87,99.90483870967742,6.56518861681006,7.126436781609195,Overstudied
Mesocriconema,48,17,12.854166666666666,0.5082726671078756,2.823529411764706,Understudied
Nacobbus,15,3,261.8666666666667,0.15883520847121113,5.0,Severely Understudied
Nanidorus,6,2,6.333333333333333,0.06353408338848444,3.0,Severely Understudied
Paratrichodorus,25,8,11.72,0.26472534745201853,3.125,Understudied
Pratylenchus,305,62,48.38688524590164,3.229649238914626,4.919354838709677,Overstudied
Radopholus,57,10,249.96491228070175,0.6035737921906023,5.7,Understudied
Rotylenchulus,44,7,304.97727272727275,0.46591661151555264,6.285714285714286,Understudied
Rotylenchus,135,48,14.688888888888888,1.4295168762409,2.8125,Adequately Studied
Scutellonema,49,16,11.346938775510203,0.5188616810059563,3.0625,Understudied
Trichodorus,60,22,9.283333333333333,0.6353408338848445,2.727272727272727,Understudied
Tylenchorhynchus,77,25,15.532467532467532,0.8153540701522171,3.08,Adequately Studied
Tylenchulus,30,6,34.5,0.31767041694242226,5.0,Understudied
Xiphinema,354,112,37.95762711864407,3.7485109199205824,3.1607142857142856,Overstudied
